ville - village,provinces,communes
bayeldiaga,,
bayendfoulgo,,
bayentori,,
bazawara,,
bazena,,
bazilakoa,,
bazoule,,
bebougou,,
beboula,,
beda,,
bediteon,,
bedogo-nabiga,,
bedogo-silmissi,,
beguedo,,
beguedo-peulh,,
beguele,,
beguemdere,,
beguentigue,,
beguentigui,,
beiga,,
beka,,
beka,,
bekapore,,
bekeyou,,
bekora,,
bekora-kpantionao,,
bekoro,,
bekotenga,,
bekoure,,
bekuy,,
bekuy,,
belayerla,,
belce,,
beldiabe,,
bele,,
bele,,
belegagnague,,
belegre,,
belehede,,
belel-seno,,
belem-balou,,
belembaoghin,,
belemboulghin,,
belemgnoubli,,
belemkangrin,,
belga,,
belgou,,
belgou,,
belgue,,
belhouro,,
belinayou,,
bellagaoudi,,
bellare,,
bellare,,
bellare,,
bellogo,,
belmin,,
bema-mossi,,
bema-silmi-mossi,,
bembela,,
bemh,,
ben,,
bena,,
bena,,
bendatoega,,
bendogo,,
bendogo,,
bendogo,,
bendogo,,
bendogo,,
bendogo,,
bendogo,,
bendogo-peulh,,
bendougou,,
bene,,
benega,,
beneyou,,
benfoaka,,
benhourgou,,
benkadi,,
benkoko,,
benna,,
benna,,
benvar,,
benya,,
benya-peulh,,
bepoidyr,,
bere,,
bereba,,
beregadougou,,
berenga-foulbe,,
berenga-mossi,,
berenga-silmi-mossi,,
berenkuy,,
berkoue,,
besseme,,
betare,,
betiessan,,
beto,,
betta,,
beuguemdre,,
beune,,
bevougane,,
beybaye,,
biale,,
bianargou,,
biba,,
bibiou,,
bida,,
bidardouo,,
bidi,,
bidi,,
bidi,,
bidi,,
bidi,,
bidigou,,
bidougou,,
bidy,,
bidy,,
bieha,,
bielmira,,
bigtogo,,
biguelle,,
biguimnoghin,,
biguissi,,
biho,,
bihoun,,
bik-baskoure,,
bilamperga,,
bilamperga-peulh,,
bilanga,,
bilanga-yanga,,
bilanga-yanga-peulh,,
bilanghin,,
bilankongo,,
bilatio,,
bilbale,,
bilbalogo,,
bilbalogo,,
bile,,
bilemtenga,,
bilgo,,
biliga-fulbe,,
biliga-mossi,,
biliguimtenga,,
bilinga,,
bilkaradie,,
bilkoundi,,
billy,,
bilogtenga,,
binadeni,,
binde,,
bindere,,
bingane,,
bingla,,
bingo,,
bingo,,
bingo,,
binguel,,
binguel,,
bini,,
biniou,,
binissira,,
binkola,,
binsboumbou,,
binseo,,
binstigre,,
binte,,
bioforo,,
bion,,
bira,,
birdininga,,
birgondogo,,
birgui,,
birira,,
biron-bobo,,
biron-marka,,
birou,,
bisboumbou,,
bisma,,
bisraaga,,
bissa,,
bissa,,
bissan,,
bissanderou,,
bissaya,,
bisserke,,
bissiga,,
bissiga,,
bissiga,,
bissiga,,
bissiga,,
bissiga,,
bissiga,,
bissiga,,
bissiga,,
bissiga,,
bissiga,,
bissiga-mossi,,
bissiga-peulh,,
bissiga-peulh,,
bissiga-yarce,,
bissiga-yarce,,
bissigaye,,
bissighin,,
bissighin,,
bissighin,,
bissiguin,,
bissiguin,,
bissiguin,,
bissinogo-peulh,,
bissiri,,
bisso,,
bissou,,
bitiako,,
biton,,
bitoungou,,
bittin,,
biyene,,
bladi,,
ble,,
bledougou,,
bleni,,
blesso,,
bloc-avv-v1,,
bloc-avv-v2,,
bloc-avv-v3,,
bloc-avv-v4,,
bo,,
boadeni,,
boadoma,,
boakla,,
boala,,
boala,,
boala,,
boalbigou,,
boaligou,,
boalin,,
boalin,,
boalin,,
boalin,,
boalin,,
boalla,,
boalla,,
boanekuy,,
boangtenga,,
boangtenga-peulh,,
boare,,
boassa,,
boassan,,
boassome,,
bobera,,
bobomondi,,
bobora,,
boborola,,
bobou,,
bobra-gogo,,
bodana,,
bodiadougou,,
bodiaga,,
bodialedaga,,
boebango,,
boena,,
boenevouhoun,,
bofian,,
bognateon,,
bognori,,
bogo,,
bogo,,
bogo,,
bogodin,,
bogole,,
bogonam,,
bogonam-foulbe,,
bogote,,
bogoumissi,,
bogoya,,
bogre,,
boh,,
bohero,,
boho,,
boho-beraba,,
boho-kari,,
boilghin,,
boinkoubouga,,
bokin,,
bokin,,
bokin,,
bokin-koudgo,,
boko,,
boko,,
bokoro,,
bokou,,
bokuy,,
bokuy,,
bokuy,,
bokuy,,
bokuy,,
bokuy-ouest,,
boladouo,,
boli,,
boliel,,
bolkiba,,
bolkpe,,
bolle,,
bolle,,
bolo,,
bologo,,
bolomakote,,
bolongo,,
bolontou,,
bom,,
bomba,,
bombara,,
bombi,,
bomboel,,
bomboila,,
bombontangou,,
bombontiangou,,
bombonyenga,,
bombora,,
bombore,,
bombore,,
bombore,,
bombore,,
bombore,,
bombore,,
bombore,,
bomborokuy,,
bomhiri,,
bominasso,,
bomonti,,
bompela,,
bon,,
bona,,
bona,,
bonam,,
bonapio,,
bonda,,
bondaogtenga,,
bondbila,,
bonde,,
bondigui,,
bondioguin,,
bondo,,
bondokoro-dioula,,
bondokoro-dogosse,,
bondokuy,,
bondomena,,
bondomina,,
bondora,,
bondorola,,
bonfateon,,
bonfesso,,
bonga,,
bonga,,
bonga,,
bongola-marence,,
bongola-mossi,,
boni,,
bonikuy,,
